Fund Name,Greenfin Label,ISR Label
LCL ACTIONS DEVELOPPEMENT DURABLE,,✓
GROUPAMA TRÉSORERIE,,✓
AMUNDI VALEURS DURABLES,,✓
AMUNDI ACTIONS EUROPE RESPONSABLE,,✓
LCL ACTIONS USA RESPONSABLE,,✓
Allianz Multi Tempéré ISR,,✓
ALM OBLIG EURO ISR,,✓
LBPAM ISR AVENIR EURO,,✓
Diversis Dynamique,,✓
Tego Dynamique ISR,,✓
AMUNDI EURO LIQUIDITY-RATED RESPONSIBLE,,✓
Monceau Ethique,,✓
ALM CRÉDIT EURO ISR,,✓
Label Europe Actions,,✓
Label Euro Obligations,,✓
BNP Paribas Actions Rendement ISR,,✓
Ostrum SRI Money,,✓
Ecofi Avenir Plus,,✓
Gaspal Obligations Court Terme,,✓
CM-AM OBLIGATIONS ISR,,✓
CM-AM SOLIDAIRE TEMPERE ISR,,✓
UZES MONDE PLI,,✓
Ofi Invest ISR Credit Bonds Euro 1-3,,✓
Portzamparc Opportunités ISR,,✓
AMUNDI EURO LIQUIDITY SHORT TERM RESPONSIBLE,,✓
HYMNOS ISR,,✓
CARDIF BNPP AM Sustainable Europe Equity,,✓
TAILOR ACTIONS AVENIR ISR,,✓
Ofi Invest ISR Actions Europe,,✓
CARDIF BNPP AM Sustainable Euro Equity,,✓
BSO France,,✓
Mansartis Asie ISR,,✓
UZES PEA,,✓
Diversis,,✓
ALM ACTIONS EUROPE ISR,,✓
Mansartis Investissements,,✓
HARMONIE MUTUELLE EMPLOIS France,,✓
Allianz Securicash SRI,,✓
BNP PARIBAS ACTIONS PATRIMOINE ISR,,✓
Mirova Obli Euro,,✓
AXA ACT Carbon Offset Eurobloc Equity QI,,✓
AXA ACT Carbon Offset Equity QI,,✓
CARDIF BNPP AM Euro Paris Climate Aligned,,✓
BNP PARIBAS OBLI ISR,,✓
Swiss Life Funds (F) ESG Money Market Euro,,✓
BNP PARIBAS RENDACTIS ISR,,✓
Villiers Actions Europe AGI,,✓
BNP PARIBAS ACTIONS MONDE ISR,,✓
Schelcher Convertible,,✓
Carmignac Emergents,,✓
AMUNDI ACTIONS USA RESPONSABLE,,✓
EdR SICAV – Euro Sustainable Credit,,✓
AXA Optimal Income,,✓
Ostrum SRI Euro Bonds 5-7,,✓
Mansartis Japon ISR,,✓
BNP PARIBAS SUSTAINABLE INVEST 3M,,✓
Ecofi Trajectoires Durables,,✓
BFT FRANCE MONETAIRE COURT TERME ISR,,✓
VIVACCIO ISR ACTIONS,,✓
BACH MONETAIRE,,✓
GROUPAMA ENTREPRISES,,✓
LBPAM ISR OBLI REVENUS,,✓
LBPAM ISR ACTIONS SMALL CAP EURO,,✓
ECHIQUIER MAJOR SRI GROWTH EUROPE,,✓
BNP Paribas Actions Croissance ISR,,✓
Allianz Valeurs durables,,✓
BFT FRANCE FUTUR ISR CLIMAT,,✓
Palatine Planète,,✓
Mandarine Equity Income,,✓
CPR CAS RESPONSIBLE,,✓
SG AMUNDI MONETAIRE ISR,,✓
Portzamparc Europe PME ISR,,✓
AMUNDI ACTIONS EURO RESPONSABLE,,✓
AGIPI Grandes Tendances,,✓
AGIPI MONDE DURABLE,,✓
CPR USA RESPONSABLE,,✓
LFR EURO DEVELOPPEMENT DURABLE,,✓
Ostrum SRI Cash,,✓
Immobilier 21,,✓
Sextant PME,,✓
BFT AUREUS ISR,,✓
AGIPI Actions Europe,,✓
AGIPI Obligations Inflation,,✓
Mirova Emploi France,,✓
Actions solidaires,,✓
ECHIQUIER ARTY SRI,,✓
LBPAM ISR ACTIONS FOCUS France,,✓
LBPAM ISR OBLI MOYEN TERME,,✓
TOCQUEVILLE TECHNOLOGY ISR,,✓
LBPAM ISR OBLI EUROPE,,✓
LBPAM ISR OBLI LONG TERME,,✓
LBPAM ISR MULTI ACTIONS EURO,,✓
LBPAM ISR MULTI ACTIONS MONDE,,✓
LBPAM ISR THEMATIQUES DURABLES,,✓
TONI ACTIONS ISR 100,,✓
Arkéa Actions Euro,,✓
Ecofi Agir pour le Climat,,✓
BNP Paribas Valeurs Euro ISR,,✓
Mandarine Opportunités,,✓
OPCI FRANCEUROPE IMMO,,✓
Carac Actions Euro,,✓
BNP PARIBAS AQUA,,✓
GROUPAMA MONÉTAIRE,,✓
MAIF Actions Transition Climat (dédié CPRAM),,✓
GROUPAMA EURO CREDIT IC,,✓
CPR EUROLAND RESPONSABLE,,✓
CPR MONETAIRE RESPONSABLE,,✓
Ofi Invest ISR Croissance Durable,,✓
AMUNDI RESPONSIBLE INVESTING - EUROPEAN CREDIT,,✓
Ostrum SRI Money 6M,,✓
Euro Credit SRI,,✓
BFT CREDIT 6 MOIS ISR,,✓
AMUNDI RENDEMENT PLUS RESPONSABLE,,✓
AFER Diversifie Durable ISR,,✓
Ostrum SRI Money Plus,,✓
ECHIQUIER SHORT TERM CREDIT SRI,,✓
AMUNDI ACTIONS FRANCE RESPONSABLE,,✓
Arkéa Crédit Court Terme,,✓
ECHIQUIER POSITIVE IMPACT EUROPE,,✓
LBPAM ISR ACTIONS SOLIDAIRE,,✓
Ostrum SRI Cash Plus,,✓
Amplegest Pricing Power,,✓
Groupama Euro Active Equity,,✓
Palatine Europe Sustainable Employment,,✓
CPR OBLIG 12 MOIS RESPONSABLE,,✓
Ofi Invest ESG Allocation Flexible,,✓
DNCA SRI Euro Quality,,✓
AXA IM EURO 6M,,✓
OPPCI VIVALDI,,✓
GROUPAMA EURO GOVIES,,✓
AGIPI Actions Emergents,,✓
BNP PARIBAS ACTIONS PME ISR,,✓
Schelcher Short Term,,✓
Ostrum SRI Cash A1P1,,✓
Epargne éthique obligations,,✓
Epargne Ethique Monétaire,,✓
LBPAM ISR STRATEGIE PEA 2,,✓
Swiss Life Funds (F) ESG Short Term Euro,,✓
OPCIMMO,,✓
SG ACTIONS EURO RENDEMENT ISR,,✓
AMUNDI ULTRA SHORT TERM BOND RESPONSIBLE,,✓
Ofi Invest ISR Valeurs Europe,,✓
AXA SELECTIV'IMMO,,✓
CPR GLOBAL ALLOCATION RESPONSIBLE,,✓
Schelcher Convertible Mid Cap,,✓
Sanso Essentiel,,✓
Pilotage Sélection Durable,,✓
DECISIEL ISR OBLIGATAIRE,,✓
SYCOMORE SÉLECTION CRÉDIT,,✓
Ostrum SRI Euro Bonds 3-5,,✓
LBPAM ISR AVENIR EPARGNE,,✓
Trecento Santé ISR,,✓
Ostrum SRI Crossover,,✓
AGIPI CLIMAT,,✓
Generali Trésorerie ISR,,✓
Ofi Invest ESG Monétaire,,✓
Amplegest Pricing Power US,,✓
BNP PARIBAS DEVELOPPEMENT HUMAIN,,✓
LBPAM ISR ACTIONS EUROPE,,✓
