date,0P0000KU3M.F,LU1313770536
2021-01-26,245.87,8819.94
2021-01-27,243.04,8813.71
2021-01-28,244.23,8799.96
2021-01-29,241.64,8800.08
2021-02-01,244.41,8808.17
2021-02-02,247.97,8809.56
2021-02-03,248.35,8812.25
2021-02-04,249.38,8810.21
2021-02-05,250.4,8813.65
2021-02-08,251.48,8814.41
2021-02-09,251.3,8813.67
2021-02-10,250.47,8814.43
2021-02-11,252.48,8823.39
2021-02-12,253.61,8814.94
2021-02-15,254.74,8802.98
2021-02-16,254.51,8793.4
2021-02-17,252.71,8798.75
2021-02-18,251.97,8792.38
2021-02-19,252.85,8781.62
2021-02-22,250.53,8786.72
2021-02-23,248.6,8777.07
2021-02-24,248.09,8774.11
2021-02-25,247.97,8743.09
2021-02-26,244.92,8734.14
2021-03-01,249.28,8764.51
2021-03-02,248.92,8775.82
2021-03-03,246.17,8758.61
2021-03-04,244.91,8761.59
2021-03-05,242.55,8751.49
2021-03-08,245.25,8739.09
2021-03-09,248.38,8744.61
2021-03-10,249.17,8748.25
2021-03-11,253.0,8764.9
2021-03-12,251.64,8756.53
2021-03-15,252.0,8764.12
2021-03-16,253.17,8762.82
2021-03-17,251.37,8747.77
2021-03-18,250.5,8737.97
2021-03-19,249.45,8744.55
2021-03-22,250.55,8748.13
2021-03-23,250.83,8755.97
2021-03-24,250.18,8761.1
2021-03-25,250.27,8756.03
2021-03-26,252.82,8760.22
2021-03-29,254.01,8749.16
2021-03-30,255.21,8737.7
2021-03-31,255.51,8748.21
2021-04-01,259.06,8774.65
2021-04-06,259.81,8783.14
2021-04-07,258.82,8788.85
2021-04-08,260.79,8794.13
2021-04-09,261.47,8781.99
2021-04-12,260.21,8779.49
2021-04-13,262.21,8776.58
2021-04-14,262.05,8766.11
2021-04-15,263.18,8781.69
2021-04-16,264.06,8776.53
2021-04-19,264.16,8769.83
2021-04-20,261.45,8776.08
2021-04-21,262.91,8776.0
2021-04-22,266.41,8774.45
2021-04-23,266.69,8775.45
2021-04-26,266.66,8773.04
2021-04-27,267.06,8772.45
2021-04-28,267.51,8767.56
2021-04-29,267.3,8758.28
2021-04-30,265.85,8763.69
2021-05-03,266.51,8765.49
2021-05-04,262.54,8776.67
2021-05-05,265.26,8775.34
2021-05-06,264.14,8773.87
2021-05-07,266.45,8770.03
2021-05-10,264.64,8770.91
2021-05-11,261.42,8749.35
2021-05-12,259.68,8735.83
2021-05-14,263.4,8734.26
2021-05-17,262.83,8730.89
2021-05-18,262.8,8727.61
2021-05-19,260.83,8721.48
2021-05-20,264.12,8718.74
2021-05-21,264.92,8726.78
2021-05-25,265.44,8742.13
2021-05-26,266.2,8755.12
2021-05-27,265.69,8746.98
2021-05-28,267.8,8752.98
2021-05-31,266.91,8754.17
2021-06-01,267.11,8756.15
2021-06-02,266.91,8766.61
2021-06-03,266.2,8763.95
2021-06-04,267.73,8775.79
2021-06-07,268.09,8773.0
2021-06-08,268.52,8784.17
2021-06-09,269.24,8795.01
2021-06-10,269.16,8802.27
2021-06-11,271.42,8811.42
2021-06-14,273.25,8807.17
2021-06-15,273.75,8800.37
2021-06-16,274.49,8804.66
2021-06-17,274.73,8797.46
2021-06-18,272.76,8799.05
2021-06-21,273.41,8783.56
2021-06-22,273.97,8779.67
2021-06-23,272.32,
2021-06-24,275.62,8792.6
