date,0P0000KU3M.F,LU1313770536
2023-09-12,260.67,7864.06
2023-09-13,259.77,7857.73
2023-09-14,262.29,7883.73
2023-09-15,262.52,7870.69
2023-09-18,258.91,7859.6
2023-09-19,258.48,7852.22
2023-09-20,261.1,7864.78
2023-09-21,256.36,7854.87
2023-09-22,256.12,7836.15
2023-09-25,253.61,7838.9
2023-09-26,251.82,7827.33
2023-09-27,250.93,7811.59
2023-09-28,251.33,7773.68
2023-09-29,253.15,7820.72
2023-10-02,250.22,7800.9
2023-10-03,246.18,7786.42
2023-10-04,247.04,7780.49
2023-10-05,246.01,7796.01
2023-10-06,247.9,7792.45
2023-10-09,245.43,7824.91
2023-10-10,250.46,7830.25
2023-10-11,251.07,7845.27
2023-10-12,250.85,7834.28
2023-10-13,246.94,7844.32
2023-10-16,246.98,7830.65
2023-10-17,,7798.08
2023-10-18,244.05,7784.73
2023-10-19,241.92,7775.22
2023-10-20,237.88,7789.96
2023-10-23,238.47,7791.95
2023-10-24,239.34,7821.33
2023-10-25,236.38,7809.94
2023-10-26,235.65,7820.27
2023-10-27,234.85,7834.58
2023-10-30,235.27,7847.79
2023-10-31,238.02,7860.33
2023-11-02,245.35,7909.89
2023-11-03,247.72,7935.81
2023-11-06,246.1,7912.46
2023-11-07,245.64,7928.7
2023-11-08,246.86,7940.95
2023-11-09,248.83,7941.96
2023-11-10,246.94,7922.19
2023-11-13,247.54,7928.42
2023-11-14,252.61,7981.23
2023-11-15,254.22,7980.19
2023-11-16,253.36,7994.86
2023-11-17,254.82,7994.89
2023-11-20,255.01,7984.67
2023-11-21,254.03,7999.17
2023-11-22,256.09,7999.55
2023-11-23,255.49,7988.31
2023-11-24,256.45,7982.04
2023-11-27,255.74,8013.91
2023-11-28,254.85,8035.25
2023-11-29,256.76,8071.96
2023-11-30,258.4,8081.74
2023-12-01,260.03,8119.17
2023-12-04,258.72,8130.21
2023-12-05,259.47,8165.3
2023-12-06,261.87,8183.69
2023-12-07,261.32,8189.78
2023-12-08,262.86,8161.32
2023-12-11,263.2,8163.2
2023-12-12,263.23,8176.08
2023-12-13,263.59,8196.57
2023-12-14,267.95,8253.4
2023-12-15,268.54,8289.83
2023-12-18,267.02,8273.29
2023-12-19,268.45,8292.33
2023-12-20,268.87,8312.84
2023-12-21,268.45,8319.56
2023-12-22,268.04,8321.88
2023-12-27,268.96,8345.0
2023-12-28,268.36,8339.61
2023-12-29,268.52,8319.06
2024-01-02,266.16,8299.08
2024-01-03,261.5,8289.1
2024-01-04,262.13,8257.49
2024-01-05,260.93,8243.85
2024-01-08,262.67,8249.59
2024-01-09,262.02,8238.71
2024-01-10,261.67,8235.82
2024-01-11,261.0,8251.73
2024-01-12,263.37,
2024-01-15,262.29,8262.6
2024-01-16,261.2,8253.21
2024-01-17,258.62,8226.96
2024-01-18,261.36,8231.59
2024-01-19,260.68,8236.79
2024-01-22,262.92,8260.15
2024-01-23,262.73,8249.33
2024-01-24,265.39,8257.99
2024-01-25,265.94,8284.38
2024-01-26,268.07,8293.54
2024-01-29,268.5,8319.0
2024-01-30,269.21,8311.39
2024-01-31,269.67,8340.56
2024-02-01,268.26,8337.79
2024-02-02,268.28,8307.77
2024-02-05,267.86,8284.43
2024-02-06,268.93,8289.53
2024-02-07,269.86,8281.68
2024-02-08,271.79,8272.01
2024-02-09,273.04,8262.74
2024-02-12,274.06,8272.36
2024-02-13,271.52,8262.75
2024-02-14,273.63,8281.02
2024-02-15,275.58,8280.42
2024-02-16,276.77,8271.91
2024-02-19,275.39,8275.76
2024-02-20,274.4,8291.56
2024-02-21,273.47,8272.76
2024-02-22,278.06,8280.02
2024-02-23,278.61,8305.85
2024-02-26,277.48,8287.32
2024-02-27,277.79,8277.7
2024-02-28,275.89,8270.8
2024-02-29,275.2,8280.14
2024-03-01,277.3,8283.01
2024-03-04,278.0,8289.55
2024-03-05,275.45,8307.33
2024-03-06,276.56,8308.76
2024-03-07,280.98,8323.4
2024-03-08,279.4,8349.48
2024-03-11,277.3,8341.65
2024-03-12,278.91,8339.54
2024-03-13,278.37,8342.01
2024-03-14,277.95,8330.19
2024-03-15,276.45,8321.96
2024-03-18,276.27,8320.04
2024-03-19,276.94,8321.65
2024-03-20,276.49,8322.58
2024-03-21,276.73,8341.27
2024-03-22,275.96,8362.37
2024-03-25,275.86,8346.85
2024-03-26,276.5,8352.71
2024-03-27,277.34,8387.87
2024-03-28,276.9,8390.02
2024-04-02,274.94,8360.24
2024-04-03,276.35,8364.35
2024-04-04,275.81,8380.86
2024-04-05,274.02,8371.13
2024-04-08,275.09,8360.92
2024-04-09,274.39,8381.66
2024-04-10,272.74,8360.48
2024-04-11,272.59,8346.32
2024-04-12,271.42,8374.84
2024-04-15,270.79,8339.92
2024-04-16,268.56,8307.2
2024-04-17,268.4,8319.1
2024-04-18,269.19,8315.46
2024-04-19,267.56,8310.71
2024-04-22,269.07,8325.45
2024-04-23,271.93,8328.34
2024-04-24,271.25,8303.96
2024-04-25,268.46,8286.39
2024-04-26,271.53,8303.06
2024-04-29,271.51,8320.61
2024-04-30,270.56,8303.24
2024-05-02,269.85,8318.83
2024-05-03,272.04,8342.97
2024-05-06,273.67,8352.91
2024-05-07,276.82,8373.67
2024-05-08,,8364.97
2024-05-10,278.97,8354.9
2024-05-13,278.75,8357.31
2024-05-14,280.37,8344.77
2024-05-15,281.79,8384.78
2024-05-16,280.72,8380.21
2024-05-17,279.76,8362.47
2024-05-21,280.2,8370.53
2024-05-22,279.94,8360.67
2024-05-23,280.32,8343.8
2024-05-24,280.39,8347.19
2024-05-27,281.59,8360.68
2024-05-28,280.49,8352.07
2024-05-29,277.14,8326.8
2024-05-30,278.89,8335.48
2024-05-31,279.48,8333.87
2024-06-03,279.98,8360.15
2024-06-04,280.13,8374.16
2024-06-05,283.01,8379.95
2024-06-06,283.95,8369.64
2024-06-07,283.28,8347.01
2024-06-10,280.67,8329.4
2024-06-11,278.33,8339.02
2024-06-12,281.21,8370.37
2024-06-13,275.5,8400.15
2024-06-14,,8398.65
2024-06-17,269.67,8374.94
2024-06-18,271.95,8388.95
2024-06-19,270.02,8390.59
2024-06-20,273.81,8386.86
2024-06-21,271.01,8396.92
2024-06-24,272.66,8392.6
2024-06-25,272.76,8399.64
2024-06-26,270.91,8392.37
2024-06-27,268.64,8396.98
2024-06-28,266.77,8388.28
2024-07-01,268.81,8377.2
2024-07-02,268.79,8382.51
2024-07-03,271.44,8404.35
2024-07-04,272.83,8404.26
2024-07-05,272.66,8425.18
2024-07-08,272.4,8434.92
2024-07-09,268.26,8425.01
2024-07-10,270.26,8436.47
2024-07-11,272.96,8464.31
2024-07-12,275.66,8455.57
2024-07-15,273.38,8463.2
2024-07-16,272.73,8475.2
2024-07-17,270.24,8475.36
2024-07-18,270.29,8480.25
2024-07-19,268.01,8470.42
2024-07-22,270.79,8461.77
2024-07-23,269.98,8483.35
2024-07-24,268.22,8491.19
2024-07-25,264.22,8497.33
2024-07-26,266.98,8502.38
2024-07-29,265.72,8516.83
2024-07-30,266.12,8526.92
2024-07-31,268.24,8540.99
2024-08-01,263.94,8561.85
2024-08-02,257.62,8566.95
2024-08-05,252.84,8532.72
2024-08-06,254.19,8538.39
2024-08-07,256.44,8536.75
2024-08-08,255.57,8540.51
2024-08-09,256.83,8552.74
2024-08-12,256.07,8553.34
2024-08-13,257.58,8566.82
2024-08-14,258.98,8570.26
2024-08-16,262.76,8562.09
2024-08-19,264.09,8564.77
2024-08-20,262.36,8576.44
2024-08-21,263.26,8587.38
2024-08-22,263.32,8574.77
2024-08-23,264.32,8582.58
2024-08-26,264.14,8577.49
2024-08-27,263.37,8569.94
2024-08-28,263.99,8577.14
2024-08-29,266.54,8579.28
2024-08-30,267.72,8572.5
2024-09-02,266.71,8559.68
2024-09-03,264.93,8577.52
2024-09-04,262.26,8593.85
2024-09-05,260.79,8603.12
2024-09-06,256.55,8618.75
2024-09-09,258.04,8623.4
2024-09-10,257.42,8632.28
2024-09-11,257.9,8630.55
2024-09-12,260.1,8620.94
2024-09-13,261.65,8627.06
2024-09-16,260.0,8640.44
2024-09-17,261.32,8638.12
2024-09-18,259.67,8627.82
2024-09-19,264.35,8642.55
2024-09-20,260.17,8639.59
2024-09-23,259.75,8657.42
2024-09-24,260.95,8668.05
2024-09-25,261.79,8655.49
2024-09-26,267.33,8656.04
2024-09-27,268.2,8671.54
2024-09-30,263.93,8678.64
2024-10-01,262.46,8706.5
2024-10-02,262.16,8696.62
2024-10-03,260.07,8687.02
2024-10-04,261.85,8662.44
2024-10-07,261.41,8649.7
2024-10-08,261.11,8654.9
2024-10-09,262.38,8649.56
2024-10-10,260.98,8657.04
2024-10-11,262.03,8657.01
2024-10-14,262.51,8657.98
2024-10-15,259.4,8681.69
2024-10-16,258.72,8698.67
2024-10-17,259.6,8705.74
2024-10-18,261.34,8721.57
2024-10-21,259.07,8694.03
2024-10-22,258.34,8681.03
2024-10-23,257.0,8692.68
2024-10-24,255.61,8709.15
2024-10-25,254.67,8697.82
2024-10-28,256.44,8703.06
2024-10-29,255.29,8686.16
2024-10-30,252.03,8652.95
2024-10-31,250.43,8644.76
2024-11-04,250.31,8651.41
2024-11-05,250.49,8641.28
2024-11-06,248.5,8678.98
2024-11-07,250.36,8667.86
2024-11-08,248.52,8691.33
2024-11-11,,8713.7
2024-11-12,246.89,8709.48
2024-11-13,246.13,8699.59
2024-11-14,248.24,8721.25
2024-11-15,245.6,8715.98
2024-11-18,245.13,8702.59
2024-11-19,244.1,8705.96
2024-11-20,242.96,8704.86
2024-11-21,243.78,8710.53
2024-11-22,245.87,8740.51
2024-11-25,248.26,8748.53
2024-11-26,246.82,8753.27
2024-11-27,244.86,8755.85
2024-11-28,245.94,8773.59
2024-11-29,246.78,8792.21
2024-12-02,245.66,8828.03
2024-12-03,246.0,8809.36
2024-12-04,247.39,8814.67
2024-12-05,248.86,8804.53
2024-12-06,251.29,8812.9
2024-12-09,252.19,8822.57
2024-12-10,251.56,8828.12
2024-12-11,251.77,8830.06
2024-12-12,250.34,8815.45
2024-12-13,250.05,8793.88
2024-12-16,248.87,8795.58
2024-12-17,248.46,8793.41
2024-12-18,249.31,8788.88
2024-12-19,246.53,8763.09
2024-12-20,244.81,8770.65
2024-12-23,246.09,8760.14
2024-12-24,246.82,
2024-12-27,248.34,8745.9
2024-12-30,246.77,8758.6
2024-12-31,249.0,8757.16
2025-01-02,248.96,8758.28
2025-01-03,247.64,8733.91
2025-01-06,251.5,8718.19
2025-01-07,250.92,8714.95
2025-01-08,249.55,8707.9
2025-01-09,250.11,8697.9
2025-01-10,247.87,8686.47
2025-01-13,246.44,8672.3
2025-01-14,245.78,8661.53
2025-01-15,248.31,8701.74
2025-01-16,250.38,8714.58
2025-01-17,251.36,8730.12
2025-01-20,252.11,8737.82
2025-01-21,253.1,8743.77
2025-01-22,254.59,8744.12
2025-01-23,254.49,8735.85
2025-01-24,255.1,8723.01
2025-01-27,254.6,8731.88
2025-01-28,256.46,8730.19
2025-01-29,256.85,8735.49
2025-01-30,259.31,8766.49
2025-01-31,259.48,8803.71
2025-02-03,256.26,8818.71
2025-02-04,257.98,8819.73
2025-02-05,258.39,8836.08
2025-02-07,256.27,8834.74
2025-02-10,257.43,8845.46
2025-02-11,258.4,8817.54
2025-02-12,258.17,8798.2
2025-02-13,261.9,8830.15
2025-02-14,262.77,8833.75
2025-02-17,262.67,8818.65
2025-02-18,261.16,8819.68
2025-02-19,258.9,8800.2
2025-02-20,259.02,8808.05
2025-02-21,260.76,8834.21
2025-02-24,259.93,8837.29
2025-02-25,259.03,8835.37
2025-02-26,260.66,8841.44
2025-02-27,258.34,8854.06
2025-02-28,257.82,8858.49
2025-03-03,258.55,8825.67
2025-03-04,253.89,8831.72
2025-03-05,258.9,8733.09
2025-03-06,259.93,8694.15
2025-03-07,258.28,8719.71
2025-03-10,256.15,8729.11
2025-03-11,252.04,8706.03
2025-03-12,252.4,8692.66
2025-03-13,250.01,8692.24
2025-03-14,252.56,8687.16
2025-03-17,253.54,8712.61
2025-03-18,254.8,8715.9
2025-03-19,255.57,8720.77
2025-03-20,254.25,8729.51
2025-03-21,251.78,8739.75
2025-03-24,251.55,8735.8
2025-03-25,252.61,8733.12
2025-03-26,250.85,8736.64
2025-03-27,249.46,8745.74
2025-03-28,247.64,8760.63
2025-03-31,243.7,8746.89
2025-04-01,245.7,8764.01
2025-04-02,245.7,8760.38
2025-04-03,240.0,8774.11
2025-04-04,231.37,8749.53
2025-04-07,223.94,8722.42
2025-04-08,,8734.59
2025-04-09,,8717.19
