Date,0P00000DLW.F,0P0000G6X1.F,0P000100RL.F,0P000155QH.F,0P00016ZNX.F,0P00018AOI.F,0P0001HZQR.F,0P0001IVQQ.F,0P0001NHSI.F,7951.T,CAP.PA,CYBO.L,CYBO.SW,ECN.PA,EL.PA,EMEC.DE,ENEL.MI,EQIX,IBE.MC,NRJ.PA,OVH.PA,SAP,SW.PA,VIE.PA,VOLV-B.ST,XCH-EUR,XDG6.L,XZRE.L
2000-01-03,235.92662048339844,1403.72998046875,116.26000213623047,128.16000366210938,102.62000274658203,10188.2998046875,100.0,100.0,89.41000366210938,185.50949096679688,155.20040893554688,20.188499450683594,20.188499450683594,65.72429656982422,9.539336204528809,9.555000305175781,1.3161457777023315,317.6240539550781,1.100287675857544,39.958251953125,19.70400047302246,36.80388259887695,11.920435905456543,12.968624114990234,16.815486907958984,720.2024536132812,33.82279968261719,29.78619956970215
2000-01-04,235.92662048339844,1403.72998046875,116.26000213623047,128.16000366210938,102.62000274658203,10188.2998046875,100.0,100.0,89.41000366210938,185.50949096679688,143.85911560058594,20.188499450683594,20.188499450683594,65.72429656982422,9.604010581970215,9.555000305175781,1.2706305980682373,317.6240539550781,1.083069920539856,39.958251953125,19.70400047302246,33.531436920166016,11.210885047912598,12.968624114990234,16.428922653198242,720.2024536132812,33.82279968261719,29.78619956970215
2000-01-05,235.92662048339844,1403.72998046875,116.26000213623047,128.16000366210938,102.62000274658203,10188.2998046875,100.0,100.0,89.41000366210938,187.20883178710938,129.66725158691406,20.188499450683594,20.188499450683594,65.72429656982422,9.869172096252441,9.555000305175781,1.2440800666809082,317.6240539550781,1.0814303159713745,39.958251953125,19.70400047302246,32.321067810058594,11.090264320373535,12.968624114990234,16.428922653198242,720.2024536132812,33.82279968261719,29.78619956970215
2000-01-06,235.92662048339844,1403.72998046875,116.26000213623047,128.16000366210938,102.62000274658203,10188.2998046875,100.0,100.0,89.41000366210938,187.20883178710938,130.51634216308594,20.188499450683594,20.188499450683594,65.72429656982422,10.186071395874023,9.555000305175781,1.2744237184524536,317.6240539550781,1.0814303159713745,39.958251953125,19.70400047302246,32.186588287353516,11.487611770629883,12.968624114990234,16.428922653198242,720.2024536132812,33.82279968261719,29.78619956970215
2000-01-07,235.92662048339844,1403.72998046875,116.26000213623047,128.16000366210938,102.62000274658203,10188.2998046875,100.0,100.0,89.41000366210938,192.0236053466797,137.06639099121094,20.188499450683594,20.188499450683594,65.72429656982422,10.160201072692871,9.555000305175781,1.2933882474899292,317.6240539550781,1.0904494524002075,39.958251953125,19.70400047302246,43.03498840332031,11.317319869995117,12.968624114990234,16.50623321533203,720.2024536132812,33.82279968261719,29.78619956970215
2000-01-10,235.92662048339844,1403.72998046875,116.26000213623047,128.16000366210938,102.62000274658203,10188.2998046875,100.0,100.0,89.41000366210938,192.0236053466797,145.61790466308594,20.188499450683594,20.188499450683594,65.72429656982422,9.733357429504395,9.555000305175781,1.2744237184524536,317.6240539550781,1.082250714302063,39.958251953125,19.70400047302246,42.99016189575195,11.317319869995117,12.968624114990234,17.124732971191406,720.2024536132812,33.82279968261719,29.78619956970215
2000-01-11,235.92662048339844,1403.72998046875,116.26000213623047,128.16000366210938,102.62000274658203,10188.2998046875,100.0,100.0,89.41000366210938,192.87326049804688,157.68701171875,20.188499450683594,20.188499450683594,65.72429656982422,9.798030853271484,9.555000305175781,1.2327009439468384,317.6240539550781,1.0756912231445312,39.958251953125,19.70400047302246,41.64532470703125,11.15412425994873,12.968624114990234,17.549955368041992,720.2024536132812,33.82279968261719,29.78619956970215
2000-01-12,235.92662048339844,1403.72998046875,116.26000213623047,128.16000366210938,102.62000274658203,10188.2998046875,100.0,100.0,89.41000366210938,194.5725860595703,151.6221160888672,20.188499450683594,20.188499450683594,65.72429656982422,9.701017379760742,9.555000305175781,1.282009243965149,317.6240539550781,1.0699527263641357,39.958251953125,19.70400047302246,43.393611907958984,10.785155296325684,12.968624114990234,17.89786148071289,720.2024536132812,33.82279968261719,29.78619956970215
2000-01-13,235.92662048339844,1403.72998046875,116.26000213623047,128.16000366210938,102.62000274658203,10188.2998046875,100.0,100.0,89.41000366210938,200.52024841308594,146.8915252685547,20.188499450683594,20.188499450683594,65.72429656982422,9.526399612426758,9.555000305175781,1.255458950996399,317.6240539550781,1.0609337091445923,39.958251953125,19.70400047302246,45.18674087524414,10.522624015808105,12.968624114990234,17.936519622802734,720.2024536132812,33.82279968261719,29.78619956970215
2000-01-14,235.92662048339844,1403.72998046875,116.26000213623047,128.16000366210938,102.62000274658203,10188.2998046875,100.0,100.0,89.41000366210938,201.36990356445312,152.2285919189453,20.188499450683594,20.188499450683594,65.72429656982422,9.84976863861084,9.555000305175781,1.3047670125961304,317.6240539550781,1.0363366603851318,39.958251953125,19.70400047302246,44.828125,10.962545394897461,12.968624114990234,17.82054901123047,720.2024536132812,33.82279968261719,29.78619956970215
2000-01-17,235.92662048339844,1403.72998046875,116.26000213623047,128.16000366210938,102.62000274658203,10188.2998046875,100.0,100.0,89.41000366210938,206.46786499023438,154.65455627441406,20.188499450683594,20.188499450683594,65.72429656982422,9.526399612426758,9.555000305175781,1.282009243965149,317.6240539550781,1.0084606409072876,39.958251953125,19.70400047302246,44.828125,10.934161186218262,12.968624114990234,17.588607788085938,720.2024536132812,33.82279968261719,29.78619956970215
